,lng,lat,type
0,108.910968,34.241448,2.0
1,108.91098799999999,34.24144888,2.0
2,108.95133999999999,34.261753999999996,2.0
3,108.95251200000001,34.261694,3.0
4,108.948586,34.259107,3.0
5,108.948503,34.259756,2.0
6,108.943471,34.258722999999996,3.0
7,108.967092,34.264129,3.0
8,108.949381,34.253040000000006,3.0
9,108.95133999999999,34.25199,3.0
10,108.95153300000001,34.252072,3.0
11,108.95096399999998,34.249871,2.0
12,108.95172,34.250851000000004,2.0
13,109.000003,34.262167,2.0
14,108.95078590709998,34.258137876599996,2.0
15,109.001562,34.262305,2.0
16,108.97336999999999,34.265281,2.0
17,108.943352,34.261913,2.0
18,108.95846999999999,34.264998999999996,3.0
19,108.947106,34.262606,3.0
20,108.96727,34.258433000000004,2.0
21,108.961472,34.258410999999995,2.0
22,108.963448,34.262931,3.0
23,108.97322199999999,34.264398,3.0
24,108.971277,34.260585,3.0
25,108.95614599999999,34.258238,3.0
26,108.941949,34.258121,2.0
27,108.97336100000001,34.263334,2.0
28,108.95614599999999,34.258238,
29,108.98151000000001,34.26058,3.0
30,108.97511399999999,34.241979,3.0
31,108.94028300000001,34.250187,3.0
32,108.979817,34.261916,3.0
33,108.94422,34.237853,3.0
34,108.93276399999999,34.231665,3.0
35,108.927996,34.251863,3.0
36,108.979929,34.261691,3.0
37,108.963473,34.246072999999996,3.0
38,108.947727,34.251367,3.0
39,108.93992800000001,34.253289,3.0
40,108.949357,34.207905,3.0
41,108.968781,34.242065000000004,2.0
42,108.956667,34.251798,3.0
43,108.93471000000001,34.238712,3.0
44,108.95598000000001,34.24138,3.0
45,108.954324,34.243257,3.0
46,108.94358999999999,34.249611,3.0
47,108.96133999999999,34.238264,2.0
48,108.96375900000001,34.251816999999996,3.0
49,108.97220300000001,34.251633,3.0
50,108.95185500000001,34.241451,3.0
51,108.979252,34.250277000000004,2.0
52,108.98557,34.248121000000005,3.0
53,108.98208500000001,34.252877000000005,2.0
54,108.982355,34.251158000000004,2.0
55,108.98154199999999,34.252225,3.0
56,108.97418,34.252295000000004,3.0
57,108.975321,34.255722999999996,2.0
58,108.975555,34.253489,2.0
59,108.975384,34.253791,3.0
60,108.975371,34.249226,3.0
61,108.960567,34.255948,3.0
62,108.96021200000001,34.255363,3.0
63,108.95389399999999,34.247634000000005,2.0
64,108.953819,34.244792,2.0
65,108.966509,34.254763,3.0
66,108.96667,34.253209000000005,3.0
67,108.99178500000001,34.273222,3.0
68,108.99088,34.274371,1.0
69,108.989797,34.245634,3.0
70,108.99951000000001,34.252206,2.0
71,108.99303300000001,34.242703000000006,2.0
72,108.958758,34.245406,3.0
73,108.968602,34.250510999999996,3.0
74,108.95383000000001,34.249555,2.0
75,108.956323,34.239999,3.0
76,108.94226699999999,34.23713,3.0
77,108.937174,34.241685,2.0
78,108.995827,34.253918,3.0
79,108.989276,34.26958,3.0
80,108.95479499999999,34.243355,2.0
81,108.981793,34.255227000000005,2.0
82,108.98828,34.258782000000004,2.0
83,108.95794099999999,34.254498999999996,2.0
84,108.97211200000001,34.239748,1.0
85,108.953097,34.237832,3.0
86,108.92347600000001,34.245391999999995,2.0
87,108.983801,34.247312,3.0
88,108.99526499999999,34.245178,2.0
89,108.998993,34.251166,3.0
90,108.99093,34.245036,2.0
91,108.999398,34.270782000000004,3.0
92,108.999425,34.270778,3.0
93,108.92951299999999,34.238309,2.0
94,108.931643,34.238384,2.0
95,108.929272,34.236105,2.0
96,108.928269,34.237947999999996,2.0
97,108.98142299999999,34.268078,3.0
98,108.987778,34.265204,3.0
99,108.968305,34.250429,3.0
100,108.96583799999999,34.250271000000005,2.0
101,108.95802900000001,34.249863,2.0
102,108.97951499999999,34.268752,2.0
103,108.967772,34.241946999999996,3.0
104,108.97920400000001,34.26854,2.0
105,108.999698,34.251557,2.0
106,108.95705500000001,34.24714,3.0
107,108.940074,34.237757,3.0
108,108.98389499999999,34.254145,3.0
109,108.972209,34.253423,3.0
110,108.976431,34.254220000000004,3.0
111,108.990251,34.244589000000005,2.0
112,108.99355700000001,34.273185,3.0
113,108.98270500000001,34.252251,2.0
114,108.97791799999999,34.249953999999995,2.0
115,108.94406000000001,34.253371,3.0
116,108.94921000000001,34.250302000000005,2.0
117,108.948627,34.249392,2.0
118,108.95707800000001,34.237860999999995,2.0
119,108.958327,34.245339,3.0
120,108.972458,34.239677,2.0
121,108.97243799999998,34.248324,3.0
122,108.98175400000001,34.258352,3.0
123,108.940344,34.241648,3.0
124,108.934774,34.238099,3.0
125,108.999398,34.270782000000004,3.0
126,108.98216599999999,34.254324,3.0
127,108.99444299999999,34.255093,2.0
128,108.981449,34.263220000000004,3.0
129,108.93324399999999,34.241501,3.0
130,108.933559,34.241625,3.0
131,108.98108400000001,34.254179,3.0
132,108.96940500000001,34.250578999999995,2.0
133,108.89804,34.246241,2.0
134,108.90079899999999,34.246204,2.0
135,108.939597,34.280897,3.0
136,108.939502,34.278728,2.0
137,108.94958999999999,34.270773,3.0
138,108.952541,34.270885,3.0
139,108.951871,34.270631,3.0
140,108.939074,34.269191,3.0
141,108.940624,34.258106,3.0
142,108.932055,34.261468,3.0
143,108.93211799999999,34.258268,3.0
144,108.939278,34.277454,3.0
145,108.949196,34.278453,3.0
146,108.94164099999999,34.261924,3.0
147,108.94225,34.262033,3.0
